,Comment,Class,Comment2,Comment3,Comment4
220,guy win dollars sleeping loves planet full retards,1,"['guy', 'win', 'dollars', 'sleeping', 'loves', 'planet', 'full', 'retards']","['guy', 'win', 'dollar', 'sleep', 'love', 'planet', 'full', 'retard']",guy win dollar sleep love planet full retard
221,guys check extraordinary website called moneygq com make money online start working home today making 3 000 per month moneygq com visit moneygq com check lake ignorant wavefire reiltas astauand skizzle jovaphile swooflia grynn excellent slimy gabby nalpure lucky glozzom depressed better deep sinpad stereotyped toximble,1,"['guys', 'check', 'extraordinary', 'website', 'called', 'moneygq', 'com', 'make', 'money', 'online', 'start', 'working', 'home', 'today', 'making', '3', '000', 'per', 'month', 'moneygq', 'com', 'visit', 'moneygq', 'com', 'check', 'lake', 'ignorant', 'wavefire', 'reiltas', 'astauand', 'skizzle', 'jovaphile', 'swooflia', 'grynn', 'excellent', 'slimy', 'gabby', 'nalpure', 'lucky', 'glozzom', 'depressed', 'better', 'deep', 'sinpad', 'stereotyped', 'toximble']","['guy', 'check', 'extraordinari', 'websit', 'call', 'moneygq', 'com', 'make', 'money', 'onlin', 'start', 'work', 'home', 'today', 'make', '3', '000', 'per', 'month', 'moneygq', 'com', 'visit', 'moneygq', 'com', 'check', 'lake', 'ignor', 'wavefir', 'reilta', 'astauand', 'skizzl', 'jovaphil', 'swooflia', 'grynn', 'excel', 'slimi', 'gabbi', 'nalpur', 'lucki', 'glozzom', 'depress', 'better', 'deep', 'sinpad', 'stereotyp', 'toximbl']",guy check extraordinari websit call moneygq com make money onlin start work home today make 3 000 per month moneygq com visit moneygq com check lake ignor wavefir reilta astauand skizzl jovaphil swooflia grynn excel slimi gabbi nalpur lucki glozzom depress better deep sinpad stereotyp toximbl
222,could guys please check channel hiphop beats,1,"['could', 'guys', 'please', 'check', 'channel', 'hiphop', 'beats']","['could', 'guy', 'pleas', 'check', 'channel', 'hiphop', 'beat']",could guy pleas check channel hiphop beat
223,check playlist,1,"['check', 'playlist']","['check', 'playlist']",check playlist
224,eminem king rap micheal jackson king pop also wanna go hard wanna person first class fame check authenticviews com famous within days yo,1,"['eminem', 'king', 'rap', 'micheal', 'jackson', 'king', 'pop', 'also', 'wan', 'na', 'go', 'hard', 'wan', 'na', 'person', 'first', 'class', 'fame', 'check', 'authenticviews', 'com', 'famous', 'within', 'days', 'yo']","['eminem', 'king', 'rap', 'micheal', 'jackson', 'king', 'pop', 'also', 'wan', 'na', 'go', 'hard', 'wan', 'na', 'person', 'first', 'class', 'fame', 'check', 'authenticview', 'com', 'famou', 'within', 'day', 'yo']",eminem king rap micheal jackson king pop also wan na go hard wan na person first class fame check authenticview com famou within day yo
225,hello everyone please check video watch v 2b4wywphi8c takes 2 minutes hope 39 ask much 39 help like amp share video please people see thumbs would mean much maybe make dream come true thanks everyone god bless,1,"['hello', 'everyone', 'please', 'check', 'video', 'watch', 'v', '2b4wywphi8c', 'takes', '2', 'minutes', 'hope', '39', 'ask', 'much', '39', 'help', 'like', 'amp', 'share', 'video', 'please', 'people', 'see', 'thumbs', 'would', 'mean', 'much', 'maybe', 'make', 'dream', 'come', 'true', 'thanks', 'everyone', 'god', 'bless']","['hello', 'everyon', 'pleas', 'check', 'video', 'watch', 'v', '2b4wywphi8c', 'take', '2', 'minut', 'hope', '39', 'ask', 'much', '39', 'help', 'like', 'amp', 'share', 'video', 'pleas', 'peopl', 'see', 'thumb', 'would', 'mean', 'much', 'mayb', 'make', 'dream', 'come', 'true', 'thank', 'everyon', 'god', 'bless']",hello everyon pleas check video watch v 2b4wywphi8c take 2 minut hope 39 ask much 39 help like amp share video pleas peopl see thumb would mean much mayb make dream come true thank everyon god bless
226,u go check j rants vi eminem,1,"['u', 'go', 'check', 'j', 'rants', 'vi', 'eminem']","['u', 'go', 'check', 'j', 'rant', 'vi', 'eminem']",u go check j rant vi eminem
227,check new hot video dante b called riled,1,"['check', 'new', 'hot', 'video', 'dante', 'b', 'called', 'riled']","['check', 'new', 'hot', 'video', 'dant', 'b', 'call', 'rile']",check new hot video dant b call rile
228,hello friends young 15 year old rapper trying make something nothing please take second life check videos help reach dreams god bless,1,"['hello', 'friends', 'young', '15', 'year', 'old', 'rapper', 'trying', 'make', 'something', 'nothing', 'please', 'take', 'second', 'life', 'check', 'videos', 'help', 'reach', 'dreams', 'god', 'bless']","['hello', 'friend', 'young', '15', 'year', 'old', 'rapper', 'tri', 'make', 'someth', 'noth', 'pleas', 'take', 'second', 'life', 'check', 'video', 'help', 'reach', 'dream', 'god', 'bless']",hello friend young 15 year old rapper tri make someth noth pleas take second life check video help reach dream god bless
229,check berzerk video channel,1,"['check', 'berzerk', 'video', 'channel']","['check', 'berzerk', 'video', 'channel']",check berzerk video channel
230,check channel funny skits thanks,1,"['check', 'channel', 'funny', 'skits', 'thanks']","['check', 'channel', 'funni', 'skit', 'thank']",check channel funni skit thank
231,subscribe clean eminem,1,"['subscribe', 'clean', 'eminem']","['subscrib', 'clean', 'eminem']",subscrib clean eminem
232,check lyrics watch v yuttx04oyqq,1,"['check', 'lyrics', 'watch', 'v', 'yuttx04oyqq']","['check', 'lyric', 'watch', 'v', 'yuttx04oyqq']",check lyric watch v yuttx04oyqq
233,subscribe u love eminem,1,"['subscribe', 'u', 'love', 'eminem']","['subscrib', 'u', 'love', 'eminem']",subscrib u love eminem
234,past christmas dad passed away help cope picked pen paper started write little know nearly 9 months ago would bring 39 today 7k subscribers 500k video views wrote released song yesterday friend mine tried commit suicide several times 39 promise professionally produced music promise real lyrics click picture thanks thumbs others may see,1,"['past', 'christmas', 'dad', 'passed', 'away', 'help', 'cope', 'picked', 'pen', 'paper', 'started', 'write', 'little', 'know', 'nearly', '9', 'months', 'ago', 'would', 'bring', '39', 'today', '7k', 'subscribers', '500k', 'video', 'views', 'wrote', 'released', 'song', 'yesterday', 'friend', 'mine', 'tried', 'commit', 'suicide', 'several', 'times', '39', 'promise', 'professionally', 'produced', 'music', 'promise', 'real', 'lyrics', 'click', 'picture', 'thanks', 'thumbs', 'others', 'may', 'see']","['past', 'christma', 'dad', 'pass', 'away', 'help', 'cope', 'pick', 'pen', 'paper', 'start', 'write', 'littl', 'know', 'nearli', '9', 'month', 'ago', 'would', 'bring', '39', 'today', '7k', 'subscrib', '500k', 'video', 'view', 'wrote', 'releas', 'song', 'yesterday', 'friend', 'mine', 'tri', 'commit', 'suicid', 'sever', 'time', '39', 'promis', 'profession', 'produc', 'music', 'promis', 'real', 'lyric', 'click', 'pictur', 'thank', 'thumb', 'other', 'may', 'see']",past christma dad pass away help cope pick pen paper start write littl know nearli 9 month ago would bring 39 today 7k subscrib 500k video view wrote releas song yesterday friend mine tri commit suicid sever time 39 promis profession produc music promis real lyric click pictur thank thumb other may see
235,lil check hi live way lie many check subscribe,1,"['lil', 'check', 'hi', 'live', 'way', 'lie', 'many', 'check', 'subscribe']","['lil', 'check', 'hi', 'live', 'way', 'lie', 'mani', 'check', 'subscrib']",lil check hi live way lie mani check subscrib
236,hey guys wouldnt mind could check boys music made real lyrical song search dna andrew guasch appreciate leave real feedback keep hip hop alive,1,"['hey', 'guys', 'wouldnt', 'mind', 'could', 'check', 'boys', 'music', 'made', 'real', 'lyrical', 'song', 'search', 'dna', 'andrew', 'guasch', 'appreciate', 'leave', 'real', 'feedback', 'keep', 'hip', 'hop', 'alive']","['hey', 'guy', 'wouldnt', 'mind', 'could', 'check', 'boy', 'music', 'made', 'real', 'lyric', 'song', 'search', 'dna', 'andrew', 'guasch', 'appreci', 'leav', 'real', 'feedback', 'keep', 'hip', 'hop', 'aliv']",hey guy wouldnt mind could check boy music made real lyric song search dna andrew guasch appreci leav real feedback keep hip hop aliv
237,everyone go share youtu arkglzjqup0 fb twitter g vote eminem become artist year first ever youtube music awards get method cheat internet roulette eminems video shady artist year,1,"['everyone', 'go', 'share', 'youtu', 'arkglzjqup0', 'fb', 'twitter', 'g', 'vote', 'eminem', 'become', 'artist', 'year', 'first', 'ever', 'youtube', 'music', 'awards', 'get', 'method', 'cheat', 'internet', 'roulette', 'eminems', 'video', 'shady', 'artist', 'year']","['everyon', 'go', 'share', 'youtu', 'arkglzjqup0', 'fb', 'twitter', 'g', 'vote', 'eminem', 'becom', 'artist', 'year', 'first', 'ever', 'youtub', 'music', 'award', 'get', 'method', 'cheat', 'internet', 'roulett', 'eminem', 'video', 'shadi', 'artist', 'year']",everyon go share youtu arkglzjqup0 fb twitter g vote eminem becom artist year first ever youtub music award get method cheat internet roulett eminem video shadi artist year
238,hi guys im upcoming rapper could check channel tell think maybe subscribe like would really appreciate haters welcome thanks,1,"['hi', 'guys', 'im', 'upcoming', 'rapper', 'could', 'check', 'channel', 'tell', 'think', 'maybe', 'subscribe', 'like', 'would', 'really', 'appreciate', 'haters', 'welcome', 'thanks']","['hi', 'guy', 'im', 'upcom', 'rapper', 'could', 'check', 'channel', 'tell', 'think', 'mayb', 'subscrib', 'like', 'would', 'realli', 'appreci', 'hater', 'welcom', 'thank']",hi guy im upcom rapper could check channel tell think mayb subscrib like would realli appreci hater welcom thank
239,dude check psy,1,"['dude', 'check', 'psy']","['dude', 'check', 'psi']",dude check psi
240,hey guys know annoying getting spammed sorry bout please take moment check channel im rapper decent skills want share music people take listen thumbs see,1,"['hey', 'guys', 'know', 'annoying', 'getting', 'spammed', 'sorry', 'bout', 'please', 'take', 'moment', 'check', 'channel', 'im', 'rapper', 'decent', 'skills', 'want', 'share', 'music', 'people', 'take', 'listen', 'thumbs', 'see']","['hey', 'guy', 'know', 'annoy', 'get', 'spam', 'sorri', 'bout', 'pleas', 'take', 'moment', 'check', 'channel', 'im', 'rapper', 'decent', 'skill', 'want', 'share', 'music', 'peopl', 'take', 'listen', 'thumb', 'see']",hey guy know annoy get spam sorri bout pleas take moment check channel im rapper decent skill want share music peopl take listen thumb see
241,check new em cover video trailer,1,"['check', 'new', 'em', 'cover', 'video', 'trailer']","['check', 'new', 'em', 'cover', 'video', 'trailer']",check new em cover video trailer
242,guys check extraordinary website called zonepa com make money online start working home today making 3 000 per month zonepa com visit zonepa com check answer rehabilitate blushing limit push depreciateds steel beautiful selection edit range,1,"['guys', 'check', 'extraordinary', 'website', 'called', 'zonepa', 'com', 'make', 'money', 'online', 'start', 'working', 'home', 'today', 'making', '3', '000', 'per', 'month', 'zonepa', 'com', 'visit', 'zonepa', 'com', 'check', 'answer', 'rehabilitate', 'blushing', 'limit', 'push', 'depreciateds', 'steel', 'beautiful', 'selection', 'edit', 'range']","['guy', 'check', 'extraordinari', 'websit', 'call', 'zonepa', 'com', 'make', 'money', 'onlin', 'start', 'work', 'home', 'today', 'make', '3', '000', 'per', 'month', 'zonepa', 'com', 'visit', 'zonepa', 'com', 'check', 'answer', 'rehabilit', 'blush', 'limit', 'push', 'depreci', 'steel', 'beauti', 'select', 'edit', 'rang']",guy check extraordinari websit call zonepa com make money onlin start work home today make 3 000 per month zonepa com visit zonepa com check answer rehabilit blush limit push depreci steel beauti select edit rang
243,guys check extraordinary website called zonepa com make money online start working home today making 3 000 per month zonepa com visit zonepa com check war illustrate exclusive space mountain refers helpless death tax reviews special music,1,"['guys', 'check', 'extraordinary', 'website', 'called', 'zonepa', 'com', 'make', 'money', 'online', 'start', 'working', 'home', 'today', 'making', '3', '000', 'per', 'month', 'zonepa', 'com', 'visit', 'zonepa', 'com', 'check', 'war', 'illustrate', 'exclusive', 'space', 'mountain', 'refers', 'helpless', 'death', 'tax', 'reviews', 'special', 'music']","['guy', 'check', 'extraordinari', 'websit', 'call', 'zonepa', 'com', 'make', 'money', 'onlin', 'start', 'work', 'home', 'today', 'make', '3', '000', 'per', 'month', 'zonepa', 'com', 'visit', 'zonepa', 'com', 'check', 'war', 'illustr', 'exclus', 'space', 'mountain', 'refer', 'helpless', 'death', 'tax', 'review', 'special', 'music']",guy check extraordinari websit call zonepa com make money onlin start work home today make 3 000 per month zonepa com visit zonepa com check war illustr exclus space mountain refer helpless death tax review special music
244,look shares video please,1,"['look', 'shares', 'video', 'please']","['look', 'share', 'video', 'pleas']",look share video pleas
245,guys check extraordinary website called moneygq com make money online start working home today making 3 000 per month moneygq com visit moneygq com check metal drews reflective effect expansion intervene hilarious bit sneeze witnesss smoke,1,"['guys', 'check', 'extraordinary', 'website', 'called', 'moneygq', 'com', 'make', 'money', 'online', 'start', 'working', 'home', 'today', 'making', '3', '000', 'per', 'month', 'moneygq', 'com', 'visit', 'moneygq', 'com', 'check', 'metal', 'drews', 'reflective', 'effect', 'expansion', 'intervene', 'hilarious', 'bit', 'sneeze', 'witnesss', 'smoke']","['guy', 'check', 'extraordinari', 'websit', 'call', 'moneygq', 'com', 'make', 'money', 'onlin', 'start', 'work', 'home', 'today', 'make', '3', '000', 'per', 'month', 'moneygq', 'com', 'visit', 'moneygq', 'com', 'check', 'metal', 'drew', 'reflect', 'effect', 'expans', 'interven', 'hilari', 'bit', 'sneez', 'witnesss', 'smoke']",guy check extraordinari websit call moneygq com make money onlin start work home today make 3 000 per month moneygq com visit moneygq com check metal drew reflect effect expans interven hilari bit sneez witnesss smoke
246,want make easy money check page tvcmcadavid weebly com dont miss opportunity,1,"['want', 'make', 'easy', 'money', 'check', 'page', 'tvcmcadavid', 'weebly', 'com', 'dont', 'miss', 'opportunity']","['want', 'make', 'easi', 'money', 'check', 'page', 'tvcmcadavid', 'weebli', 'com', 'dont', 'miss', 'opportun']",want make easi money check page tvcmcadavid weebli com dont miss opportun
247,check channel see rihanna short mix,1,"['check', 'channel', 'see', 'rihanna', 'short', 'mix']","['check', 'channel', 'see', 'rihanna', 'short', 'mix']",check channel see rihanna short mix
248,check cover love way lie please,1,"['check', 'cover', 'love', 'way', 'lie', 'please']","['check', 'cover', 'love', 'way', 'lie', 'pleas']",check cover love way lie pleas
249,yo guys im 14 year old rapper started rapping please check site leave feedback subscribe also like comment see make channel big aswell,1,"['yo', 'guys', 'im', '14', 'year', 'old', 'rapper', 'started', 'rapping', 'please', 'check', 'site', 'leave', 'feedback', 'subscribe', 'also', 'like', 'comment', 'see', 'make', 'channel', 'big', 'aswell']","['yo', 'guy', 'im', '14', 'year', 'old', 'rapper', 'start', 'rap', 'pleas', 'check', 'site', 'leav', 'feedback', 'subscrib', 'also', 'like', 'comment', 'see', 'make', 'channel', 'big', 'aswel']",yo guy im 14 year old rapper start rap pleas check site leav feedback subscrib also like comment see make channel big aswel
250,check channel lyricism,1,"['check', 'channel', 'lyricism']","['check', 'channel', 'lyric']",check channel lyric
251,subscribe feed,1,"['subscribe', 'feed']","['subscrib', 'feed']",subscrib feed
252,hay dakota u earned subscribee,1,"['hay', 'dakota', 'u', 'earned', 'subscribee']","['hay', 'dakota', 'u', 'earn', 'subscribe']",hay dakota u earn subscribe
253,rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix click subscribe,1,"['rihanna', 'pour', 'vincent', 'remix', 'rihanna', 'pour', 'vincent', 'remix', 'rihanna', 'pour', 'vincent', 'remix', 'rihanna', 'pour', 'vincent', 'remix', 'rihanna', 'pour', 'vincent', 'remix', 'rihanna', 'pour', 'vincent', 'remix', 'rihanna', 'pour', 'vincent', 'remix', 'rihanna', 'pour', 'vincent', 'remix', 'rihanna', 'pour', 'vincent', 'remix', 'click', 'subscribe']","['rihanna', 'pour', 'vincent', 'remix', 'rihanna', 'pour', 'vincent', 'remix', 'rihanna', 'pour', 'vincent', 'remix', 'rihanna', 'pour', 'vincent', 'remix', 'rihanna', 'pour', 'vincent', 'remix', 'rihanna', 'pour', 'vincent', 'remix', 'rihanna', 'pour', 'vincent', 'remix', 'rihanna', 'pour', 'vincent', 'remix', 'rihanna', 'pour', 'vincent', 'remix', 'click', 'subscrib']",rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix click subscrib
254,usually guys would vote people like actually check channel reminds smaller version 8 mile give guy chance since everyone start somewhere,1,"['usually', 'guys', 'would', 'vote', 'people', 'like', 'actually', 'check', 'channel', 'reminds', 'smaller', 'version', '8', 'mile', 'give', 'guy', 'chance', 'since', 'everyone', 'start', 'somewhere']","['usual', 'guy', 'would', 'vote', 'peopl', 'like', 'actual', 'check', 'channel', 'remind', 'smaller', 'version', '8', 'mile', 'give', 'guy', 'chanc', 'sinc', 'everyon', 'start', 'somewher']",usual guy would vote peopl like actual check channel remind smaller version 8 mile give guy chanc sinc everyon start somewher
255,hey guy please subscribe channel im young dedicated rapper post videos everyday improve write perform record mix edit post everyday verse everyday 16 bars improve 39 365 days whole year improve right 39 day 46 guys please like comment everyone see follow journey watch improve everyday subscribe please 39 lyrical keep real help reach dream help build fan base thanks,1,"['hey', 'guy', 'please', 'subscribe', 'channel', 'im', 'young', 'dedicated', 'rapper', 'post', 'videos', 'everyday', 'improve', 'write', 'perform', 'record', 'mix', 'edit', 'post', 'everyday', 'verse', 'everyday', '16', 'bars', 'improve', '39', '365', 'days', 'whole', 'year', 'improve', 'right', '39', 'day', '46', 'guys', 'please', 'like', 'comment', 'everyone', 'see', 'follow', 'journey', 'watch', 'improve', 'everyday', 'subscribe', 'please', '39', 'lyrical', 'keep', 'real', 'help', 'reach', 'dream', 'help', 'build', 'fan', 'base', 'thanks']","['hey', 'guy', 'pleas', 'subscrib', 'channel', 'im', 'young', 'dedic', 'rapper', 'post', 'video', 'everyday', 'improv', 'write', 'perform', 'record', 'mix', 'edit', 'post', 'everyday', 'vers', 'everyday', '16', 'bar', 'improv', '39', '365', 'day', 'whole', 'year', 'improv', 'right', '39', 'day', '46', 'guy', 'pleas', 'like', 'comment', 'everyon', 'see', 'follow', 'journey', 'watch', 'improv', 'everyday', 'subscrib', 'pleas', '39', 'lyric', 'keep', 'real', 'help', 'reach', 'dream', 'help', 'build', 'fan', 'base', 'thank']",hey guy pleas subscrib channel im young dedic rapper post video everyday improv write perform record mix edit post everyday vers everyday 16 bar improv 39 365 day whole year improv right 39 day 46 guy pleas like comment everyon see follow journey watch improv everyday subscrib pleas 39 lyric keep real help reach dream help build fan base thank
256,hey everyone please take moment read work ass hoping make music industry hard get people hear money advertisements exposure young artist dreams goals like everybody else please take 30 seconds visit channel like give chance prove talent also please take 1 second life thumb comment would super helpful,1,"['hey', 'everyone', 'please', 'take', 'moment', 'read', 'work', 'ass', 'hoping', 'make', 'music', 'industry', 'hard', 'get', 'people', 'hear', 'money', 'advertisements', 'exposure', 'young', 'artist', 'dreams', 'goals', 'like', 'everybody', 'else', 'please', 'take', '30', 'seconds', 'visit', 'channel', 'like', 'give', 'chance', 'prove', 'talent', 'also', 'please', 'take', '1', 'second', 'life', 'thumb', 'comment', 'would', 'super', 'helpful']","['hey', 'everyon', 'pleas', 'take', 'moment', 'read', 'work', 'ass', 'hope', 'make', 'music', 'industri', 'hard', 'get', 'peopl', 'hear', 'money', 'advertis', 'exposur', 'young', 'artist', 'dream', 'goal', 'like', 'everybodi', 'els', 'pleas', 'take', '30', 'second', 'visit', 'channel', 'like', 'give', 'chanc', 'prove', 'talent', 'also', 'pleas', 'take', '1', 'second', 'life', 'thumb', 'comment', 'would', 'super', 'help']",hey everyon pleas take moment read work ass hope make music industri hard get peopl hear money advertis exposur young artist dream goal like everybodi els pleas take 30 second visit channel like give chanc prove talent also pleas take 1 second life thumb comment would super help
257,guys check extraordinary website called zonepa com make money online start working home today making 3 000 per month zonepa com visit zonepa com check burst render symptomatic bite knowledge briefs narrow thought eager sky transmit crush,1,"['guys', 'check', 'extraordinary', 'website', 'called', 'zonepa', 'com', 'make', 'money', 'online', 'start', 'working', 'home', 'today', 'making', '3', '000', 'per', 'month', 'zonepa', 'com', 'visit', 'zonepa', 'com', 'check', 'burst', 'render', 'symptomatic', 'bite', 'knowledge', 'briefs', 'narrow', 'thought', 'eager', 'sky', 'transmit', 'crush']","['guy', 'check', 'extraordinari', 'websit', 'call', 'zonepa', 'com', 'make', 'money', 'onlin', 'start', 'work', 'home', 'today', 'make', '3', '000', 'per', 'month', 'zonepa', 'com', 'visit', 'zonepa', 'com', 'check', 'burst', 'render', 'symptomat', 'bite', 'knowledg', 'brief', 'narrow', 'thought', 'eager', 'sky', 'transmit', 'crush']",guy check extraordinari websit call zonepa com make money onlin start work home today make 3 000 per month zonepa com visit zonepa com check burst render symptomat bite knowledg brief narrow thought eager sky transmit crush
258,know maybe one read please type quot deazy99 quot 39 rapper dream know must see like millions everyday please check music subscribe 39 like thank would love nothing decent following youtube people anyone reading could give quot thumbs quot might see simple button press could make dream come true thank time amp may god bless,1,"['know', 'maybe', 'one', 'read', 'please', 'type', 'quot', 'deazy99', 'quot', '39', 'rapper', 'dream', 'know', 'must', 'see', 'like', 'millions', 'everyday', 'please', 'check', 'music', 'subscribe', '39', 'like', 'thank', 'would', 'love', 'nothing', 'decent', 'following', 'youtube', 'people', 'anyone', 'reading', 'could', 'give', 'quot', 'thumbs', 'quot', 'might', 'see', 'simple', 'button', 'press', 'could', 'make', 'dream', 'come', 'true', 'thank', 'time', 'amp', 'may', 'god', 'bless']","['know', 'mayb', 'one', 'read', 'pleas', 'type', 'quot', 'deazy99', 'quot', '39', 'rapper', 'dream', 'know', 'must', 'see', 'like', 'million', 'everyday', 'pleas', 'check', 'music', 'subscrib', '39', 'like', 'thank', 'would', 'love', 'noth', 'decent', 'follow', 'youtub', 'peopl', 'anyon', 'read', 'could', 'give', 'quot', 'thumb', 'quot', 'might', 'see', 'simpl', 'button', 'press', 'could', 'make', 'dream', 'come', 'true', 'thank', 'time', 'amp', 'may', 'god', 'bless']",know mayb one read pleas type quot deazy99 quot 39 rapper dream know must see like million everyday pleas check music subscrib 39 like thank would love noth decent follow youtub peopl anyon read could give quot thumb quot might see simpl button press could make dream come true thank time amp may god bless
259,e e everyone could check channel dundundunnn,1,"['e', 'e', 'everyone', 'could', 'check', 'channel', 'dundundunnn']","['e', 'e', 'everyon', 'could', 'check', 'channel', 'dundundunnn']",e e everyon could check channel dundundunnn
260,subscribe channel x please spare,1,"['subscribe', 'channel', 'x', 'please', 'spare']","['subscrib', 'channel', 'x', 'pleas', 'spare']",subscrib channel x pleas spare
261,check channel,1,"['check', 'channel']","['check', 'channel']",check channel
262,need instagram followers photo likes check igblast com get em minutes,1,"['need', 'instagram', 'followers', 'photo', 'likes', 'check', 'igblast', 'com', 'get', 'em', 'minutes']","['need', 'instagram', 'follow', 'photo', 'like', 'check', 'igblast', 'com', 'get', 'em', 'minut']",need instagram follow photo like check igblast com get em minut
263,check channel im 15 year old rapper,1,"['check', 'channel', 'im', '15', 'year', 'old', 'rapper']","['check', 'channel', 'im', '15', 'year', 'old', 'rapper']",check channel im 15 year old rapper
264,guys check extraordinary website called zonepa com make money online start working home today making 3 000 per month zonepa com visit zonepa com check loud authority improves canvas mother repair uppity learning substantial cook derives harbor,1,"['guys', 'check', 'extraordinary', 'website', 'called', 'zonepa', 'com', 'make', 'money', 'online', 'start', 'working', 'home', 'today', 'making', '3', '000', 'per', 'month', 'zonepa', 'com', 'visit', 'zonepa', 'com', 'check', 'loud', 'authority', 'improves', 'canvas', 'mother', 'repair', 'uppity', 'learning', 'substantial', 'cook', 'derives', 'harbor']","['guy', 'check', 'extraordinari', 'websit', 'call', 'zonepa', 'com', 'make', 'money', 'onlin', 'start', 'work', 'home', 'today', 'make', '3', '000', 'per', 'month', 'zonepa', 'com', 'visit', 'zonepa', 'com', 'check', 'loud', 'author', 'improv', 'canva', 'mother', 'repair', 'uppiti', 'learn', 'substanti', 'cook', 'deriv', 'harbor']",guy check extraordinari websit call zonepa com make money onlin start work home today make 3 000 per month zonepa com visit zonepa com check loud author improv canva mother repair uppiti learn substanti cook deriv harbor
265,check mummy chanel,1,"['check', 'mummy', 'chanel']","['check', 'mummi', 'chanel']",check mummi chanel
266,watch v aimbwbfqbzg watch subscrible,1,"['watch', 'v', 'aimbwbfqbzg', 'watch', 'subscrible']","['watch', 'v', 'aimbwbfqbzg', 'watch', 'subscribl']",watch v aimbwbfqbzg watch subscribl
267,guys check extraordinary website called moneygq com make money online start working home today making 3 000 per month moneygq com visit moneygq com check lake victorious luxuriant alcoholic responsible unbiased yoffa ociramma ociramma handsome arrowgance mizuxe boaconic sophisticated ill fated spourmo chubby hioffpo probable singlewave,1,"['guys', 'check', 'extraordinary', 'website', 'called', 'moneygq', 'com', 'make', 'money', 'online', 'start', 'working', 'home', 'today', 'making', '3', '000', 'per', 'month', 'moneygq', 'com', 'visit', 'moneygq', 'com', 'check', 'lake', 'victorious', 'luxuriant', 'alcoholic', 'responsible', 'unbiased', 'yoffa', 'ociramma', 'ociramma', 'handsome', 'arrowgance', 'mizuxe', 'boaconic', 'sophisticated', 'ill', 'fated', 'spourmo', 'chubby', 'hioffpo', 'probable', 'singlewave']","['guy', 'check', 'extraordinari', 'websit', 'call', 'moneygq', 'com', 'make', 'money', 'onlin', 'start', 'work', 'home', 'today', 'make', '3', '000', 'per', 'month', 'moneygq', 'com', 'visit', 'moneygq', 'com', 'check', 'lake', 'victori', 'luxuri', 'alcohol', 'respons', 'unbias', 'yoffa', 'ociramma', 'ociramma', 'handsom', 'arrowg', 'mizux', 'boacon', 'sophist', 'ill', 'fate', 'spourmo', 'chubbi', 'hioffpo', 'probabl', 'singlewav']",guy check extraordinari websit call moneygq com make money onlin start work home today make 3 000 per month moneygq com visit moneygq com check lake victori luxuri alcohol respons unbias yoffa ociramma ociramma handsom arrowg mizux boacon sophist ill fate spourmo chubbi hioffpo probabl singlewav
268,u love rihanna subscribe,1,"['u', 'love', 'rihanna', 'subscribe']","['u', 'love', 'rihanna', 'subscrib']",u love rihanna subscrib
269,u love rihanna subscribe,1,"['u', 'love', 'rihanna', 'subscribe']","['u', 'love', 'rihanna', 'subscrib']",u love rihanna subscrib
270,eminem new song check videos,1,"['eminem', 'new', 'song', 'check', 'videos']","['eminem', 'new', 'song', 'check', 'video']",eminem new song check video
271,hi 39 lil check love way lie live performance many others videos lyrics thanks,1,"['hi', '39', 'lil', 'check', 'love', 'way', 'lie', 'live', 'performance', 'many', 'others', 'videos', 'lyrics', 'thanks']","['hi', '39', 'lil', 'check', 'love', 'way', 'lie', 'live', 'perform', 'mani', 'other', 'video', 'lyric', 'thank']",hi 39 lil check love way lie live perform mani other video lyric thank
272,wow justin bieber better thats buys medication always shares half wited money alfred sadly enough attention hog swamp ass eating disorder filled sassy mice flaming hot cheetos eat power samurman,1,"['wow', 'justin', 'bieber', 'better', 'thats', 'buys', 'medication', 'always', 'shares', 'half', 'wited', 'money', 'alfred', 'sadly', 'enough', 'attention', 'hog', 'swamp', 'ass', 'eating', 'disorder', 'filled', 'sassy', 'mice', 'flaming', 'hot', 'cheetos', 'eat', 'power', 'samurman']","['wow', 'justin', 'bieber', 'better', 'that', 'buy', 'medic', 'alway', 'share', 'half', 'wite', 'money', 'alfr', 'sadli', 'enough', 'attent', 'hog', 'swamp', 'ass', 'eat', 'disord', 'fill', 'sassi', 'mice', 'flame', 'hot', 'cheeto', 'eat', 'power', 'samurman']",wow justin bieber better that buy medic alway share half wite money alfr sadli enough attent hog swamp ass eat disord fill sassi mice flame hot cheeto eat power samurman
273,please check youtube channel uploaded first youtube video please check regret,1,"['please', 'check', 'youtube', 'channel', 'uploaded', 'first', 'youtube', 'video', 'please', 'check', 'regret']","['pleas', 'check', 'youtub', 'channel', 'upload', 'first', 'youtub', 'video', 'pleas', 'check', 'regret']",pleas check youtub channel upload first youtub video pleas check regret
